dataset_source,session_id,turn_id,user_query,ability_domain,task_type,query_style,followup_type,emotion_tone,expected_memory_decision,expected_scope_behavior,difficulty,notes,quality_flag,source_batch,label_source,confidence,manual_reviewed,active_sections,scope_pred,topic_overlap,context_sim,tv_distance
generated_sessions,S0001,1,老師你好，我想請教一下這份報告書裡面的「粗大動作」分數為什麼這麼低？,粗大動作,B 分數解讀,正式,無,焦慮,REFRESH,建立粗大動作領域及分數解讀脈絡,Low,首輪開啟,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0001,2,那這樣在同年齡裡面算很嚴重嗎？,粗大動作,B 分數解讀,簡短追問,代名詞追問,焦慮,STAY,延續粗大動作分數脈絡進行嚴重程度說明,Low,代名詞「那這樣」,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0001,3,平常在家可以做什麼運動來幫他？,粗大動作,E 居家訓練,口語,任務切換,期待,HYBRID,保留粗大動作領域但切換任務至居家訓練,Medium,領域不變但任務改變,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0001,4,那精細動作的部分呢？,精細動作,A 報告總覽,簡短追問,換主題,平穩,REFRESH,切換至精細動作領域並重建脈絡,Low,明確切換領域,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0002,1,我想問一下報告說小朋友有「口語表達遲緩」，這是什麼意思？,口語表達,B 分數解讀,口語,無,困惑,REFRESH,建立口語表達領域及術語解讀脈絡,Low,首輪開啟,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0002,2,他在家其實都會講話啊，為什麼評估說落後？,口語表達,C 臨床觀察,口語,資訊補充,質疑,STAY,延續口語表達領域並針對觀察差異做解釋,Medium,家長提出觀察反饋,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0002,3,那有什麼方法可以讓他在家多練習說話？,口語表達,E 居家訓練,口語,任務切換,積極,HYBRID,保留口語表達領域但切換任務至訓練建議,Medium,轉向居家策略,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0002,4,如果要排課的話，要去哪裡找老師？,口語表達,H 轉介機構,模糊追問,外部任務,焦慮,REFRESH,切換至醫療端轉介與機構搜尋任務,High,跨出報告解讀範圍,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0003,1,老師，報告上的「感覺統合」失調是指過動嗎？,感覺統合,C 臨床觀察,口語,無,焦慮,REFRESH,建立感統領域並釐清診斷定義脈絡,Low,常見迷思詢問,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0003,2,那他一直跳來跳去就是因為這個原因嗎？,粗大動作,C 臨床觀察,簡短追問,行為連結,焦慮,STAY,延續感統脈絡並解釋特定行為成因,Medium,連結個案具體行為,domain_normalized:感覺統合->粗大動作,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0003,3,我們需要買什麼感統玩具給他玩？,感覺統合,E 居家訓練,口語,任務切換,期待,HYBRID,保留感統領域但切換至輔助工具與訓練,Medium,轉向策略建議,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0004,1,我想了解認知功能PR 15代表什麼？,認知功能,B 分數解讀,正式,無,平穩,REFRESH,建立認知領域與百分等級解讀脈絡,Low,首輪開啟,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0004,2,這會影響到他以後讀小學嗎？,認知功能,J 學校合作,口語,跨時點詢問,憂心,HYBRID,保留認知能力現況並延伸至未來入學影響,High,跨任務涉及未來預後,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0004,3,老師有建議要怎麼加強嗎？,認知功能,E 居家訓練,模糊追問,任務切換,期待,HYBRID,保留認知領域但尋求具體加強策略,Low,模糊追問「怎麼加強」,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0005,1,報告說小朋友「社交互動」有缺損，這跟自閉症有關嗎？,情緒行為與社會適應功能,C 臨床觀察,正式,無,焦慮,REFRESH,建立社交領域與診斷關聯脈絡,Medium,敏感標籤詢問,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0005,2,他都不跟小朋友玩，這也是其中的表現嗎？,情緒行為與社會適應功能,C 臨床觀察,口語,行為連結,難過,STAY,延續社交互動脈絡解釋具體行為表現,Low,行為舉例確認,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0005,3,那學校老師那邊我們要怎麼跟她溝通比較好？,情緒行為與社會適應功能,J 學校合作,口語,外部任務,求助,REFRESH,切換至校園溝通與合作策略脈絡,Medium,切換至外部合作環境,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0006,1,我收到綜合報告書了，可是我看不太懂「生活自理」的部分。,生活自理,A 報告總覽,口語,無,困惑,REFRESH,建立生活自理領域的概況解讀脈絡,Low,首輪開啟,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0006,2,像是穿衣服、吃飯這些，他現在應該要會了嗎？,生活自理,D 能力剖面,口語,發展里程碑追問,平穩,STAY,延續自理領域並提供發展常模比對,Medium,具體任務細節追問,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0006,3,如果想在日常生活中練習，有什麼建議？,生活自理,F 融入日常,口語,任務切換,積極,HYBRID,保留自理領域但切換至情境化訓練建議,Medium,轉向日常實踐策略,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0007,1,關於「精細動作」，報告說他的抓握力不夠。,精細動作,C 臨床觀察,正式,無,平穩,REFRESH,建立精細動作與臨床表現脈絡,Low,首輪開啟,OK,batch_S,gpt_initial_label,,,,,,,
